DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2011,185,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2012,377,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2013,654,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2014,625,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2015,768,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2016,1033,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2017,1678,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2018,1831,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2019,1812,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2020,1666,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,AT,2021,1823,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,BE,2011,2145,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,BE,2012,2580,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,BE,2013,2766,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,BE,2014,2626,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,TOTAL,F01_F03,TOT_IN,BE,2015,3019,
