DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2011,3.72,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2012,7.27,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2013,12.52,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2014,11.63,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2015,13.97,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2016,18.19,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2017,28.92,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2018,31.33,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2019,30.47,p
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Austria,2020,28.13,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2011,32.08,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2012,37.64,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2013,39.6,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2014,36.25,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2015,40.52,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2016,39.52,
ESTAT:HLTH_CD_ASDR2(1.0),13/04/23 11:00:00,Annual,Rate,Females,Total,Dementia,Belgium,2017,41.37,
